#id	component_ids	mapped_names	kegg_names
186	11|12|13	P35240|Q8IX03	hsa:122786 hsa:79981|hsa:23286|hsa:4771
187	184|185	O15105|P46937	hsa:10413|hsa:4092
189	114|115|116	P35222	hsa:10297 hsa:324|hsa:1499|hsa:8312 hsa:8313
190	31|32	Q13625	hsa:5499 hsa:5500 hsa:5501|hsa:7159
191	126|127	Q9GZV5	hsa:10971 hsa:7529 hsa:7531 hsa:7532 hsa:7533 hsa:7534|hsa:25937
192	50|51|52	Q14160	hsa:1739 hsa:1740 hsa:1741 hsa:1742 hsa:9231|hsa:23513|hsa:3993 hsa:3996
193	82|83	O15350	hsa:10413 hsa:25937|hsa:7161
195	104|84|85	Q13485	hsa:10413 hsa:25937|hsa:4087 hsa:4088|hsa:4089
196	150|151|152	P46937|Q13485|Q15797	hsa:10413|hsa:4086|hsa:4089
197	117|118|119	P46937	hsa:10413|hsa:51176 hsa:6932 hsa:6934 hsa:83439|hsa:7003 hsa:7004 hsa:7005 hsa:8463
